epoch,loss
0,1223056.125000
1,115653443584.000000
2,14465363.000000
3,14188143.000000
4,13916440.000000
5,13650141.000000
6,13389140.000000
7,13133340.000000
8,12882624.000000
9,12636899.000000
10,12396067.000000
11,12160024.000000
12,11928677.000000
13,11701937.000000
14,11479708.000000
15,11261903.000000
16,11048429.000000
17,10839206.000000
18,10634145.000000
19,10433166.000000
20,10236186.000000
21,10043125.000000
22,9853908.000000
23,9668456.000000
24,9486693.000000
25,9308547.000000
26,9133946.000000
27,8962822.000000
28,8795100.000000
29,8630718.000000
30,8469606.000000
31,8311701.000000
32,8156937.000000
33,8005255.500000
34,7856589.500000
35,7710884.500000
36,7568077.500000
37,7428112.000000
38,7290932.000000
39,7156482.000000
40,7024708.500000
41,6895557.000000
42,6768975.500000
43,6644911.500000
44,6523318.000000
45,6404142.500000
46,6287341.500000
47,6172863.500000
48,6060662.000000
49,5950695.000000
50,5842916.500000
51,5737281.500000
52,5633750.000000
53,5532279.000000
54,5432825.500000
55,5335351.500000
56,5239817.000000
57,5146184.500000
58,5054416.000000
59,4964472.500000
60,4876319.500000
61,4789920.000000
62,4705240.000000
63,4622246.500000
64,4540902.500000
65,4461179.000000
66,4383040.500000
67,4306457.500000
68,4231399.500000
69,4157834.250000
70,4085732.750000
71,4015066.500000
72,3945806.500000
73,3877923.750000
74,3811393.500000
75,3746186.500000
76,3682277.500000
77,3619639.000000
78,3558249.250000
79,3498079.000000
80,3439107.500000
81,3381309.500000
82,3324660.250000
83,3269139.250000
84,3214723.250000
85,3161389.750000
86,3109118.000000
87,3057886.000000
88,3007674.250000
89,2958461.000000
90,2910227.500000
91,2862954.000000
92,2816620.500000
93,2771209.500000
94,2726702.500000
95,2683081.500000
96,2640327.000000
97,2598424.750000
98,2557356.250000
99,2517104.250000
100,2477653.000000
101,2438987.750000
102,2401092.000000
103,2363949.500000
104,2327547.000000
105,2291868.500000
106,2256899.750000
107,2222627.250000
108,2189036.500000
109,2156115.000000
110,2123847.750000
111,2092222.875000
112,2061227.000000
113,2030848.625000
114,2001074.750000
115,1971893.125000
116,1943292.125000
117,1915260.375000
118,1887786.750000
119,1860859.375000
120,1834468.125000
121,1808601.625000
122,1783250.125000
123,1758403.500000
124,1734050.875000
125,1710183.250000
126,1686790.250000
127,1663863.000000
128,1641391.625000
129,1619367.875000
130,1597782.125000
131,1576626.125000
132,1555890.875000
133,1535568.500000
134,1515650.500000
135,1496129.000000
136,1476995.000000
137,1458243.000000
138,1439864.000000
139,1421850.250000
140,1404195.375000
141,1386891.500000
142,1369932.125000
143,1353310.375000
144,1337019.000000
145,1321052.375000
146,1305402.875000
147,1290065.125000
148,1275032.750000
149,1260299.375000
150,1245859.125000
151,1231706.250000
152,1217835.250000
153,1204239.875000
154,1190915.250000
155,1177855.875000
156,1165056.375000
157,1152511.375000
158,1140216.000000
159,1128165.625000
160,1116354.875000
161,1104779.250000
162,1093433.875000
163,1082314.250000
164,1071416.000000
165,1060734.500000
166,1050265.500000
167,1040005.125000
168,1029948.750000
169,1020092.625000
170,1010432.625000
171,1000964.625000
172,991685.437500
173,982590.375000
174,973676.375000
175,964940.187500
176,956378.000000
177,947985.500000
178,939760.375000
179,931698.875000
180,923797.750000
181,916054.000000
182,908464.375000
183,901025.500000
184,893735.062500
185,886589.375000
186,879586.000000
187,872722.000000
188,865994.500000
189,859401.062500
190,852938.625000
191,846604.937500
192,840397.250000
193,834313.125000
194,828350.312500
195,822505.625000
196,816777.625000
197,811163.625000
198,805660.875000
199,800268.187500
